,fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,sulphates,alcohol,quality,alcohol_higher,va_high
495,10.7,0.35,0.53,0.07,16.0,0.9972,0.65,11.0,8,0,0
356,11.5,0.41,0.52,0.08,55.0,1.0001,0.88,11.0,5,0,0
1410,6.6,0.96,0.0,0.082,16.0,0.9936,0.44,11.9,6,1,1
1581,6.2,0.56,0.09,0.053,32.0,0.99402,0.6,11.3,5,0,0
95,4.7,0.6,0.17,0.058,106.0,0.9932,0.6,12.9,6,1,1
793,7.7,0.6,0.0,0.055,13.0,0.99639,0.56,10.8,5,0,1
667,11.3,0.34,0.45,0.082,15.0,0.9988,0.66,9.2,6,0,0
16,8.5,0.28,0.56,0.092,103.0,0.9969,0.75,10.5,7,0,0
423,10.5,0.24,0.47,0.066,24.0,0.9978,0.9,11.0,7,0,0
1535,7.0,0.55,0.13,0.075,35.0,0.9959,0.59,9.7,6,0,0
620,8.3,0.54,0.24,0.076,112.0,0.9976,0.61,9.4,5,0,0
388,7.8,0.46,0.26,0.088,53.0,0.9981,0.74,9.2,6,0,0
551,9.4,0.43,0.24,0.092,45.0,0.998,0.73,10.0,6,0,0
1309,7.0,0.62,0.1,0.071,63.0,0.996,0.61,9.2,5,0,1
517,10.4,0.61,0.49,0.2,16.0,0.9994,0.63,8.4,3,0,1
1469,7.3,0.98,0.05,0.061,49.0,0.99705,0.55,9.7,3,0,1
1276,8.5,0.4,0.4,0.05,10.0,0.99566,0.56,12.0,4,1,0
1576,8.0,0.3,0.63,0.081,29.0,0.99588,0.78,10.8,6,0,0
540,9.2,0.59,0.24,0.101,47.0,0.9988,0.67,9.6,5,0,0
671,8.2,0.73,0.21,0.074,13.0,0.9968,0.52,9.5,5,0,1
992,6.5,0.4,0.1,0.076,47.0,0.99554,0.48,9.4,6,0,0
940,9.6,0.33,0.52,0.074,25.0,0.99509,0.76,12.4,7,1,0
280,11.4,0.26,0.44,0.071,19.0,0.9986,0.82,9.3,6,0,0
242,7.7,0.58,0.1,0.102,109.0,0.99565,0.49,9.8,6,0,0
247,8.2,0.6,0.17,0.072,73.0,0.9963,0.45,9.3,5,0,1
93,7.7,0.49,0.26,0.062,31.0,0.9966,0.64,9.6,5,0,0
721,8.9,0.48,0.24,0.094,106.0,0.9982,0.53,9.2,5,0,0
1434,10.2,0.54,0.37,0.214,95.0,1.00369,0.77,9.0,6,0,0
67,6.6,0.705,0.07,0.076,15.0,0.9962,0.58,10.7,5,0,1
1500,7.5,0.725,0.04,0.076,15.0,0.99508,0.53,9.6,5,0,1
1502,7.3,0.585,0.18,0.078,60.0,0.99638,0.54,9.8,5,0,0
1444,7.3,0.67,0.02,0.072,92.0,0.99566,0.68,11.1,6,0,1
251,7.1,0.6,0.0,0.074,34.0,0.9972,0.7,9.9,6,0,1
1571,6.4,0.38,0.14,0.038,25.0,0.99514,0.65,11.1,6,0,0
871,6.9,0.56,0.03,0.086,46.0,0.99522,0.57,10.6,5,0,0
699,11.8,0.38,0.55,0.071,19.0,0.9986,0.62,10.8,6,0,0
1085,6.8,0.48,0.08,0.074,64.0,0.99529,0.49,9.6,5,0,0
768,7.1,0.59,0.02,0.082,94.0,0.99744,0.53,9.7,6,0,0
723,7.1,0.31,0.3,0.053,127.0,0.9965,1.62,9.5,5,0,0
150,7.3,0.33,0.47,0.077,11.0,0.9958,0.53,10.3,6,0,0
179,8.8,0.61,0.14,0.067,42.0,0.9969,0.59,9.5,5,0,1
739,9.0,0.69,0.0,0.088,38.0,0.999,0.6,9.3,5,0,1
22,7.9,0.43,0.21,0.106,37.0,0.9966,0.91,9.5,5,0,0
1069,8.0,0.62,0.35,0.086,52.0,0.997,0.62,10.8,5,0,1
857,8.2,0.26,0.34,0.073,47.0,0.99594,0.78,11.3,7,0,0
1041,6.9,0.49,0.19,0.079,26.0,0.99547,0.64,9.8,6,0,0
726,8.1,0.72,0.09,0.084,49.0,0.9994,0.72,11.1,6,0,1
1459,7.9,0.2,0.35,0.054,15.0,0.99458,0.8,11.9,7,1,0
690,7.4,1.185,0.0,0.097,14.0,0.9966,0.54,10.7,3,0,1
407,12.0,0.39,0.66,0.093,30.0,0.9996,0.63,10.8,7,0,0
116,8.3,0.54,0.28,0.077,40.0,0.9978,0.61,10.0,6,0,0
35,7.8,0.645,0.0,0.086,18.0,0.9986,0.55,9.6,6,0,1
53,8.6,0.38,0.36,0.081,119.0,0.997,0.56,9.4,5,0,0
1013,7.5,0.71,0.0,0.092,31.0,0.99635,0.58,10.0,6,0,1
1375,7.2,0.56,0.26,0.083,100.0,0.99586,0.52,9.9,5,0,0
1220,10.9,0.32,0.52,0.132,44.0,0.99734,0.77,11.5,6,0,0
1360,9.2,0.54,0.31,0.112,38.0,0.99699,0.56,10.9,5,0,0
30,6.7,0.675,0.07,0.089,82.0,0.9958,0.54,10.1,5,0,1
1470,10.0,0.69,0.11,0.084,24.0,0.99578,0.47,9.7,5,0,1
1211,6.6,0.44,0.15,0.076,53.0,0.9957,0.62,9.3,5,0,0
228,7.7,0.43,0.25,0.073,63.0,0.99615,0.58,10.5,6,0,0
1091,7.9,0.34,0.42,0.086,19.0,0.99546,0.6,11.4,6,0,0
1170,9.2,0.36,0.34,0.062,12.0,0.99667,0.67,10.5,6,0,0
1522,6.1,0.32,0.25,0.071,58.0,0.99633,0.97,10.6,5,0,0
707,7.4,0.49,0.19,0.077,37.0,0.9966,0.51,10.5,5,0,0
1231,7.8,0.815,0.01,0.074,90.0,0.99621,0.62,10.8,5,0,1
635,8.7,0.84,0.0,0.065,33.0,0.9954,0.55,9.7,5,0,1
1424,8.3,0.26,0.37,0.076,23.0,0.9974,0.7,9.6,6,0,0
167,7.3,0.55,0.03,0.072,42.0,0.9956,0.48,9.0,4,0,0
396,6.6,0.735,0.02,0.122,124.0,0.9994,0.53,9.9,5,0,1
993,7.1,0.34,0.28,0.082,68.0,0.99694,0.48,9.4,5,0,0
29,7.8,0.645,0.0,0.082,16.0,0.9964,0.59,9.8,6,0,1
1010,8.9,0.28,0.45,0.067,12.0,0.99354,0.55,12.3,7,1,0
451,8.4,0.37,0.53,0.413,26.0,0.9979,1.06,9.1,6,0,0
803,7.7,0.56,0.08,0.114,46.0,0.9971,0.66,9.6,6,0,0
277,11.5,0.18,0.51,0.104,23.0,0.9996,0.97,10.1,6,0,0
1168,6.5,0.34,0.27,0.067,44.0,0.99384,0.56,12.0,6,1,0
764,9.1,0.68,0.11,0.093,44.0,0.99888,0.55,9.5,6,0,1
174,7.3,0.38,0.21,0.08,35.0,0.9961,0.47,9.5,5,0,0
630,8.7,0.54,0.26,0.097,31.0,0.9976,0.6,9.3,6,0,0
455,11.3,0.62,0.67,0.086,19.0,0.9988,0.69,13.4,8,1,1
1163,9.0,0.785,0.24,0.078,21.0,0.99692,0.67,10.0,5,0,1
1247,7.4,0.55,0.19,0.082,34.0,0.99655,0.68,10.5,5,0,0
1138,7.5,0.41,0.15,0.104,94.0,0.99786,0.58,9.1,5,0,0
637,9.5,0.885,0.27,0.084,145.0,0.9978,0.53,9.4,5,0,1
841,6.6,0.66,0.0,0.115,31.0,0.99629,0.63,10.3,5,0,1
686,7.1,0.65,0.18,0.07,40.0,0.997,0.6,9.1,5,0,1
566,8.7,0.7,0.24,0.226,15.0,0.9991,0.6,9.0,6,0,1
920,9.6,0.41,0.37,0.091,23.0,0.99786,0.56,10.5,5,0,0
1081,7.9,0.3,0.68,0.05,289.0,0.99316,0.51,12.3,7,1,0
914,7.3,0.305,0.39,0.059,11.0,0.99331,0.52,11.5,6,0,0
483,10.6,0.36,0.6,0.152,18.0,0.9986,1.06,9.4,5,0,0
1230,7.7,0.18,0.34,0.066,58.0,0.9947,0.78,11.8,6,1,0
1002,9.1,0.29,0.33,0.063,27.0,0.99516,0.84,11.7,7,1,0
315,7.1,0.35,0.29,0.096,53.0,0.9962,0.65,11.0,6,0,0
1117,7.0,0.69,0.07,0.091,21.0,0.99572,0.6,11.3,6,0,1
1399,7.2,0.67,0.0,0.068,24.0,0.9956,0.72,11.1,6,0,1
285,9.9,0.59,0.07,0.102,71.0,1.00015,0.71,9.8,5,0,0
385,7.4,0.63,0.07,0.09,37.0,0.9979,0.76,9.7,6,0,1
1186,6.6,0.8,0.03,0.079,12.0,0.9963,0.5,12.2,5,1,1
199,6.9,1.09,0.06,0.061,31.0,0.9948,0.43,11.4,4,0,1
329,10.7,0.46,0.39,0.061,15.0,0.9981,0.62,9.5,5,0,0
1298,5.7,0.6,0.0,0.063,18.0,0.99191,0.56,12.2,6,1,1
710,10.6,1.025,0.43,0.08,84.0,0.9985,0.57,10.1,5,0,1
1278,8.0,0.715,0.22,0.075,81.0,0.99688,0.54,9.5,6,0,1
753,8.3,0.65,0.1,0.089,40.0,0.99803,0.55,9.5,5,0,1
812,10.8,0.45,0.33,0.099,38.0,0.99818,0.71,10.8,5,0,0
464,11.5,0.315,0.54,0.084,15.0,0.9987,0.7,9.2,6,0,0
1350,9.0,0.6,0.29,0.069,73.0,0.99654,0.57,10.0,5,0,1
144,5.2,0.34,0.0,0.05,63.0,0.9916,0.79,14.0,6,1,0
581,12.3,0.5,0.49,0.089,14.0,1.0002,0.44,9.6,5,0,0
216,8.7,0.625,0.16,0.101,49.0,0.9962,0.57,11.0,5,0,1
431,7.8,0.55,0.35,0.074,66.0,0.9974,0.56,9.2,5,0,0
1075,9.1,0.25,0.34,0.071,67.0,0.99769,0.86,10.2,7,0,0
4,7.4,0.7,0.0,0.076,34.0,0.9978,0.56,9.4,5,0,1
594,7.9,0.72,0.17,0.096,38.0,0.9978,0.53,9.5,5,0,1
34,5.2,0.32,0.25,0.103,50.0,0.9957,0.55,9.2,5,0,0
1532,7.2,0.53,0.13,0.058,22.0,0.99573,0.68,9.9,6,0,0
614,9.2,0.755,0.18,0.148,103.0,0.9969,1.36,10.2,6,0,1
272,10.9,0.37,0.58,0.071,65.0,0.99935,0.78,10.1,5,0,0
364,12.8,0.615,0.66,0.083,42.0,1.0022,0.73,10.0,7,0,1
660,7.2,0.52,0.07,0.074,20.0,0.9973,0.81,9.6,6,0,0
1232,7.6,0.43,0.29,0.075,66.0,0.99718,0.64,9.5,5,0,0
1499,6.9,0.74,0.03,0.054,16.0,0.99508,0.63,11.5,6,0,1
1327,6.7,0.46,0.24,0.077,34.0,0.9948,0.6,10.6,6,0,0
302,8.3,0.705,0.12,0.092,28.0,0.9994,0.72,10.0,5,0,1
536,9.9,0.63,0.24,0.077,33.0,0.9974,0.57,9.4,5,0,1
1076,9.9,0.32,0.56,0.073,8.0,0.99534,0.73,11.4,6,0,0
1204,7.2,0.36,0.46,0.074,44.0,0.99534,0.85,11.0,7,0,0
132,5.6,0.5,0.09,0.049,99.0,0.9937,0.63,13.0,5,1,0
350,10.7,0.67,0.22,0.107,34.0,1.0004,0.98,9.9,6,0,1
838,10.1,0.31,0.35,0.075,28.0,0.99672,0.83,11.2,7,0,0
1437,6.8,0.915,0.29,0.07,39.0,0.99577,0.54,11.1,5,0,1
1466,7.3,0.48,0.32,0.062,54.0,0.99728,0.65,10.0,7,0,0
282,7.6,0.52,0.12,0.067,53.0,0.9971,0.57,9.1,5,0,0
1078,8.6,0.37,0.65,0.08,8.0,0.99817,0.58,11.0,5,0,0
1266,7.2,0.57,0.05,0.081,36.0,0.99564,0.6,10.3,6,0,0
618,11.4,0.46,0.5,0.122,17.0,1.0006,0.7,10.2,5,0,0
1209,6.2,0.39,0.43,0.071,24.0,0.99428,0.87,11.2,7,0,0
1453,7.6,0.49,0.33,0.074,85.0,0.99706,0.58,9.0,5,0,0
704,9.1,0.765,0.04,0.078,14.0,0.998,0.54,9.7,4,0,1
1565,6.7,0.67,0.02,0.061,42.0,0.99489,0.82,10.9,6,0,1
1100,8.4,0.34,0.42,0.072,36.0,0.99392,0.78,12.4,6,1,0
1433,6.1,0.4,0.16,0.069,25.0,0.9955,0.74,10.1,7,0,0
1427,7.6,0.41,0.33,0.078,23.0,0.9957,0.58,11.2,5,0,0
344,11.9,0.57,0.5,0.082,32.0,1.0006,0.78,10.7,6,0,0
183,6.8,0.61,0.2,0.077,65.0,0.9971,0.58,9.3,5,0,1
951,8.3,0.28,0.48,0.093,12.0,0.99408,0.62,12.4,7,1,0
1357,7.3,0.43,0.24,0.078,67.0,0.99648,0.59,11.1,6,0,0
268,6.9,0.54,0.04,0.077,27.0,0.9987,0.91,9.4,6,0,0
1270,5.0,0.38,0.01,0.048,60.0,0.99084,0.75,14.0,6,1,0
202,6.8,0.5,0.11,0.075,49.0,0.99545,0.79,9.5,5,0,0
1414,10.0,0.32,0.59,0.077,15.0,0.9994,0.78,9.6,5,0,0
490,9.3,0.775,0.27,0.078,56.0,0.9984,0.67,10.6,6,0,1
61,7.7,0.69,0.49,0.115,112.0,0.9968,0.71,9.3,5,0,1
1249,7.1,0.6,0.01,0.079,37.0,0.99514,0.61,10.9,6,0,1
210,9.7,0.53,0.6,0.039,19.0,0.99585,0.86,12.4,6,1,0
1430,7.4,0.41,0.24,0.066,47.0,0.9956,0.62,10.4,5,0,0
1275,8.0,0.715,0.22,0.075,81.0,0.99688,0.54,9.5,6,0,1
567,8.7,0.7,0.24,0.226,15.0,0.9991,0.6,9.0,6,0,1
1148,7.8,0.39,0.42,0.086,21.0,0.99526,0.66,11.6,6,1,0
1017,8.0,0.18,0.37,0.049,109.0,0.99007,0.44,12.7,6,1,0
180,8.8,0.61,0.14,0.067,42.0,0.9969,0.59,9.5,5,0,1
205,12.8,0.3,0.74,0.095,28.0,0.9994,0.77,10.8,7,0,0
89,7.0,0.62,0.08,0.076,24.0,0.9978,0.53,9.0,5,0,1
232,8.5,0.37,0.2,0.09,58.0,0.998,0.7,9.6,6,0,0
260,7.9,0.33,0.23,0.077,45.0,0.99625,0.65,9.3,5,0,0
85,6.9,0.55,0.15,0.076,40.0,0.9961,0.59,10.1,5,0,0
403,11.4,0.6,0.49,0.085,41.0,0.9994,0.63,10.5,6,0,1
664,12.1,0.4,0.52,0.092,54.0,1.0,0.66,10.2,5,0,0
794,10.1,0.27,0.54,0.065,26.0,0.99531,0.53,12.5,6,1,0
432,11.9,0.37,0.69,0.078,24.0,0.9958,0.65,12.8,6,1,0
239,8.2,1.0,0.09,0.065,37.0,0.99685,0.55,9.0,6,0,1
627,8.8,0.6,0.29,0.098,15.0,0.9988,0.49,9.1,5,0,1
918,8.4,0.36,0.32,0.081,79.0,0.9964,0.72,11.0,6,0,0
1378,7.2,0.45,0.15,0.078,28.0,0.99609,0.51,9.9,6,0,0
874,10.4,0.38,0.46,0.104,10.0,0.99664,0.65,11.8,7,1,0
377,9.4,0.27,0.53,0.074,18.0,0.9962,1.13,12.0,7,1,0
1149,10.0,0.35,0.47,0.061,11.0,0.99585,0.52,12.0,6,1,0
847,7.4,0.68,0.16,0.078,39.0,0.9977,0.7,9.9,6,0,1
484,10.6,0.44,0.68,0.114,24.0,0.997,0.66,13.4,6,1,0
1435,10.2,0.54,0.37,0.214,95.0,1.00369,0.77,9.0,6,0,0
412,7.1,0.735,0.16,0.1,77.0,0.9966,0.64,9.3,5,0,1
684,9.8,0.98,0.32,0.078,152.0,0.998,0.48,9.4,5,0,1
404,7.7,0.69,0.05,0.075,27.0,0.9974,0.61,9.1,5,0,1
1480,5.6,0.62,0.03,0.08,13.0,0.99498,0.62,10.1,4,0,1
1216,7.9,0.57,0.31,0.079,79.0,0.99677,0.69,9.5,6,0,0
341,10.6,0.42,0.48,0.065,18.0,0.9972,0.87,11.3,6,0,0
1111,5.4,0.42,0.27,0.092,55.0,0.99471,0.64,12.3,7,1,0
526,7.3,0.365,0.49,0.088,106.0,0.9966,0.78,11.0,5,0,0
941,9.9,0.27,0.49,0.082,17.0,0.99484,0.52,12.5,7,1,0
925,8.6,0.22,0.36,0.064,77.0,0.99604,0.87,11.0,7,0,0
1054,8.2,0.64,0.27,0.095,77.0,0.99747,0.62,9.1,6,0,1
1305,7.5,0.61,0.26,0.073,88.0,0.99612,0.53,9.8,5,0,1
266,8.1,0.87,0.0,0.096,61.0,1.00025,0.72,9.8,4,0,1
57,7.5,0.63,0.12,0.111,110.0,0.9983,0.77,9.4,5,0,1
1045,6.9,0.44,0.0,0.07,38.0,0.99438,0.58,11.4,6,0,0
177,7.5,0.52,0.42,0.087,38.0,0.9972,0.61,10.5,6,0,0
1513,6.4,0.56,0.15,0.078,65.0,0.99294,0.6,10.5,6,0,0
708,7.8,0.545,0.12,0.068,35.0,0.996,0.61,11.6,6,1,0
599,12.7,0.59,0.45,0.082,22.0,1.0,0.7,9.3,6,0,0
1323,9.1,0.36,0.39,0.06,55.0,0.99495,0.82,11.0,7,0,0
1113,8.9,0.24,0.39,0.074,10.0,0.99698,0.59,9.5,6,0,0
592,9.0,0.45,0.49,0.084,75.0,0.9987,0.57,9.7,5,0,0
1259,6.8,0.64,0.0,0.123,33.0,0.99538,0.63,11.3,6,0,1
1542,6.7,0.855,0.02,0.064,38.0,0.99472,0.56,10.75,6,0,1
895,7.1,0.59,0.01,0.08,43.0,0.9955,0.58,10.7,6,0,0
729,6.4,0.865,0.03,0.071,58.0,0.995,0.49,12.7,6,1,1
273,8.4,0.715,0.2,0.076,38.0,0.99735,0.64,9.4,5,0,1
855,7.6,0.735,0.02,0.071,14.0,0.99538,0.71,11.7,7,1,1
1468,7.3,0.48,0.32,0.062,54.0,0.99728,0.65,10.0,7,0,0
3,11.2,0.28,0.56,0.075,60.0,0.998,0.58,9.8,6,0,0
1598,6.0,0.31,0.47,0.067,42.0,0.99549,0.66,11.0,6,0,0
1475,5.3,0.47,0.11,0.048,89.0,0.99182,0.88,13.5666666666667,7,1,0
1508,7.1,0.27,0.6,0.074,25.0,0.99814,0.72,10.6,6,0,0
1090,10.0,0.26,0.54,0.083,74.0,0.99451,0.63,11.8,8,1,0
965,8.3,0.34,0.4,0.065,48.0,0.99554,0.86,11.0,6,0,0
1014,8.0,0.58,0.16,0.12,7.0,0.99454,0.58,11.2,6,0,0
1590,6.3,0.55,0.15,0.077,35.0,0.99314,0.82,11.6,6,1,0
327,10.3,0.44,0.5,0.107,13.0,0.998,0.83,11.5,5,0,0
815,10.8,0.45,0.33,0.099,38.0,0.99818,0.71,10.8,5,0,0
1486,6.8,0.68,0.21,0.07,23.0,0.99546,0.6,10.3,5,0,1
716,8.0,0.43,0.36,0.075,48.0,0.9976,0.46,9.4,5,0,0
1579,6.2,0.56,0.09,0.053,32.0,0.99402,0.6,11.3,5,0,0
588,5.0,0.42,0.24,0.06,50.0,0.9917,0.74,14.0,8,1,0
1136,10.4,0.52,0.45,0.08,13.0,0.99774,0.76,11.4,6,0,0
434,10.4,0.41,0.55,0.076,54.0,0.9996,0.89,9.9,6,0,0
480,10.6,0.28,0.39,0.069,23.0,1.0026,0.66,9.2,5,0,0
1345,8.2,0.44,0.24,0.063,28.0,0.99613,0.53,10.2,6,0,0
1316,5.4,0.74,0.0,0.041,46.0,0.99258,0.59,12.5,6,1,1
503,10.5,0.26,0.47,0.078,24.0,0.9976,1.04,10.9,7,0,0
527,7.0,0.38,0.49,0.097,85.0,0.9962,0.77,11.4,6,0,0
1311,6.5,0.51,0.15,0.064,27.0,0.9929,0.59,12.8,6,1,0
1034,8.9,0.745,0.18,0.077,48.0,0.99739,0.47,9.7,6,0,1
1401,7.9,0.69,0.21,0.08,141.0,0.9962,0.51,9.9,5,0,1
401,7.7,0.26,0.3,0.059,38.0,0.9949,0.47,10.8,6,0,0
87,7.7,0.49,0.26,0.062,31.0,0.9966,0.64,9.6,5,0,0
698,9.4,0.615,0.28,0.087,72.0,1.0001,0.53,9.7,5,0,1
949,8.9,0.12,0.45,0.075,21.0,0.99552,0.76,11.9,7,1,0
1557,6.6,0.855,0.02,0.062,23.0,0.99627,0.6,11.0,6,0,1
98,7.6,0.9,0.06,0.079,10.0,0.9967,0.56,9.8,5,0,1
758,8.1,0.87,0.0,0.084,31.0,0.99656,0.5,9.8,5,0,1
1364,7.2,0.605,0.02,0.096,31.0,0.995,0.53,11.8,6,1,1
650,10.7,0.43,0.39,0.106,32.0,0.9986,0.5,9.6,5,0,0
73,8.3,0.675,0.26,0.084,43.0,0.9976,0.53,9.2,4,0,1
296,10.6,0.83,0.37,0.086,70.0,0.9981,0.52,9.9,5,0,1
1556,6.6,0.88,0.04,0.066,20.0,0.99636,0.56,9.9,5,0,1
190,8.2,0.5,0.35,0.077,127.0,0.9976,0.62,9.4,5,0,0
316,9.6,0.56,0.23,0.102,92.0,0.9996,0.65,10.1,5,0,0
1365,7.8,0.5,0.09,0.115,42.0,0.9971,0.62,9.5,5,0,0
164,7.3,0.59,0.26,0.07,121.0,0.9981,0.49,9.4,5,0,0
312,9.0,0.46,0.31,0.093,98.0,0.99815,0.63,9.5,6,0,0
48,6.4,0.4,0.23,0.066,12.0,0.9958,0.56,9.2,5,0,0
27,7.9,0.43,0.21,0.106,37.0,0.9966,0.91,9.5,5,0,0
298,7.2,0.65,0.02,0.094,31.0,0.9993,0.8,9.7,5,0,1
531,11.9,0.38,0.49,0.098,42.0,1.0004,0.61,10.3,5,0,0
1129,10.5,0.43,0.35,0.092,70.0,0.99798,0.69,10.5,6,0,0
482,10.6,0.36,0.59,0.152,18.0,0.9986,1.05,9.4,5,0,0
543,11.2,0.66,0.24,0.085,53.0,0.9993,0.72,11.0,6,0,1
1575,7.5,0.52,0.4,0.06,20.0,0.99474,0.64,11.8,6,1,0
680,13.3,0.43,0.58,0.07,40.0,1.0004,0.49,9.0,5,0,0
1488,5.6,0.54,0.04,0.049,13.0,0.9942,0.58,11.4,5,0,0
1191,6.5,0.885,0.0,0.166,12.0,0.99551,0.51,10.8,5,0,1
148,6.9,0.49,0.1,0.074,30.0,0.9959,0.58,10.2,6,0,0
137,7.2,0.415,0.36,0.081,45.0,0.9972,0.64,9.2,5,0,0
334,7.9,0.65,0.01,0.078,38.0,0.9963,0.74,11.7,7,1,1
1307,6.8,0.68,0.09,0.068,29.0,0.99524,0.52,11.1,4,0,1
1188,6.7,0.64,0.23,0.08,119.0,0.99538,0.7,10.9,5,0,1
1116,7.0,0.69,0.07,0.091,21.0,0.99572,0.6,11.3,6,0,1
162,7.8,0.53,0.04,0.076,31.0,0.9964,0.56,10.0,6,0,0
1225,9.2,0.46,0.23,0.091,77.0,0.99922,0.51,9.4,5,0,0
70,7.7,0.63,0.08,0.076,27.0,0.9967,0.54,9.5,6,0,1
43,8.1,0.66,0.22,0.069,23.0,0.9968,1.2,10.3,5,0,1
307,10.3,0.41,0.42,0.213,14.0,0.9994,0.62,9.5,6,0,0
1201,7.9,0.34,0.36,0.065,10.0,0.99419,0.54,11.2,7,0,0
489,9.3,0.39,0.4,0.073,26.0,0.9984,0.75,10.2,6,0,0
36,7.8,0.6,0.14,0.086,15.0,0.9975,0.6,10.8,6,0,1
9,7.5,0.5,0.36,0.071,102.0,0.9978,0.8,10.5,5,0,0
23,8.5,0.49,0.11,0.084,67.0,0.9968,0.53,9.4,5,0,0
1379,7.5,0.57,0.02,0.077,35.0,0.99557,0.62,10.8,6,0,0
675,9.3,0.41,0.39,0.064,31.0,0.9984,0.65,10.2,5,0,0
1272,5.9,0.46,0.0,0.077,44.0,0.99385,0.53,11.2,5,0,0
1135,8.0,0.25,0.43,0.067,50.0,0.9946,0.6,11.9,6,1,0
903,6.8,0.59,0.06,0.06,18.0,0.9962,0.59,10.8,7,0,0
1413,9.9,0.57,0.25,0.104,89.0,0.9963,0.9,10.1,5,0,0
1245,7.4,0.55,0.19,0.082,34.0,0.99655,0.68,10.5,5,0,0
1351,7.2,0.62,0.01,0.065,46.0,0.99332,0.51,11.8,6,1,1
639,8.9,0.29,0.35,0.067,57.0,0.997,1.36,10.3,6,0,0
1559,7.8,0.6,0.26,0.08,131.0,0.99622,0.52,9.9,5,0,1
321,9.3,0.61,0.26,0.09,87.0,0.99975,0.62,9.7,5,0,1
1134,8.5,0.28,0.35,0.061,15.0,0.99524,0.74,11.8,7,1,0
819,9.1,0.66,0.15,0.097,59.0,0.99976,0.54,9.6,5,0,1
990,7.7,0.39,0.12,0.097,27.0,0.99596,0.49,9.4,5,0,0
1290,7.6,0.74,0.0,0.1,12.0,0.99521,0.59,11.0,5,0,1
254,7.1,0.6,0.0,0.074,34.0,0.9972,0.7,9.9,6,0,1
346,6.6,0.815,0.02,0.072,34.0,0.9955,0.89,12.3,7,1,1
1538,6.2,0.64,0.09,0.081,26.0,0.99538,0.63,12.0,5,1,1
215,7.0,0.49,0.49,0.06,121.0,0.9974,0.76,10.5,5,0,0
1356,6.1,0.34,0.25,0.084,28.0,0.99464,0.44,10.1,5,0,0
509,13.3,0.29,0.75,0.084,43.0,0.9986,0.68,11.4,7,0,0
367,10.4,0.575,0.61,0.076,24.0,1.0,0.69,9.0,5,0,0
1449,7.2,0.38,0.31,0.056,29.0,0.99472,0.76,11.3,8,0,0
1152,8.3,0.6,0.25,0.118,38.0,0.99616,0.53,9.8,5,0,1
146,5.8,0.68,0.02,0.087,94.0,0.9944,0.52,10.0,5,0,1
954,7.6,0.43,0.4,0.082,11.0,0.99538,0.54,12.2,6,1,0
